Element type                                            Size  Used MEM
module.layer2.1.conv2.weight                (128, 128, 3, 3)   576.00K
module.layer2.1.bn2.weight                            (128,)   512.00B
module.layer2.1.bn2.bias                              (128,)   512.00B
Tensor26                                              (128,)   512.00B
Tensor27                                              (128,)   512.00B
Tensor28                                                (1,)   512.00B
module.layer3.0.conv1.weight                (256, 128, 3, 3)     1.12M
module.layer3.0.bn1.weight                            (256,)     1.00K
module.layer3.0.bn1.bias                              (256,)     1.00K
Tensor29                                              (256,)     1.00K
Tensor30                                              (256,)     1.00K
Tensor31                                                (1,)   512.00B
module.layer3.0.conv2.weight                (256, 256, 3, 3)     2.25M
module.layer3.0.bn2.weight                            (256,)     1.00K
module.layer3.0.bn2.bias                              (256,)     1.00K
Tensor32                                              (256,)     1.00K
Tensor33                                              (256,)     1.00K
Tensor34                                                (1,)   512.00B
module.layer3.1.conv1.weight                (256, 256, 3, 3)     2.25M
module.layer3.1.bn1.weight                            (256,)     1.00K
module.layer3.1.bn1.bias                              (256,)     1.00K
Tensor35                                              (256,)     1.00K
Tensor36                                              (256,)     1.00K
Tensor37                                                (1,)   512.00B
module.layer3.1.conv2.weight                (256, 256, 3, 3)     2.25M
module.layer3.1.bn2.weight                            (256,)     1.00K
module.layer3.1.bn2.bias                              (256,)     1.00K
Tensor38                                              (256,)     1.00K
Tensor39                                              (256,)     1.00K
Tensor40                                                (1,)   512.00B
module.layer4.0.conv1.weight                (512, 256, 3, 3)     4.50M
module.layer4.0.bn1.weight                            (512,)     2.00K
module.layer4.0.bn1.bias                              (512,)     2.00K
Tensor41                                              (512,)     2.00K
Tensor42                                              (512,)     2.00K
Tensor43                                                (1,)   512.00B
module.layer4.0.conv2.weight                (512, 512, 3, 3)     9.00M
module.layer4.0.bn2.weight                            (512,)     2.00K
module.layer4.0.bn2.bias                              (512,)     2.00K
Tensor44                                              (512,)     2.00K
Tensor45                                              (512,)     2.00K
Tensor46                                                (1,)   512.00B
module.layer4.1.conv1.weight                (512, 512, 3, 3)     9.00M
module.layer4.1.bn1.weight                            (512,)     2.00K
module.layer4.1.bn1.bias                              (512,)     2.00K
Tensor47                                              (512,)     2.00K
Tensor48                                              (512,)     2.00K
Tensor49                                                (1,)   512.00B
module.layer4.1.conv2.weight                (512, 512, 3, 3)     9.00M
module.layer4.1.bn2.weight                            (512,)     2.00K
module.layer4.1.bn2.bias                              (512,)     2.00K
Tensor50                                              (512,)     2.00K
Tensor51                                              (512,)     2.00K
module.layer2.0.downsample.0.weight          (128, 64, 1, 1)    32.00K
module.layer2.0.downsample.1.weight                   (128,)   512.00B
module.layer2.0.downsample.1.bias                     (128,)   512.00B
Tensor52                                              (128,)   512.00B
Tensor53                                              (128,)   512.00B
Tensor54                                                (1,)   512.00B
module.layer3.0.downsample.0.weight         (256, 128, 1, 1)   128.00K
module.layer3.0.downsample.1.weight                   (256,)     1.00K
module.layer3.0.downsample.1.bias                     (256,)     1.00K
Tensor55                                              (256,)     1.00K
Tensor56                                              (256,)     1.00K
Tensor57                                                (1,)   512.00B
module.layer4.0.downsample.0.weight         (512, 256, 1, 1)   512.00K
module.layer4.0.downsample.1.weight                   (512,)     2.00K
module.layer4.0.downsample.1.bias                     (512,)     2.00K
Tensor58                                              (512,)     2.00K
Tensor59                                              (512,)     2.00K
Tensor60                                                (1,)   512.00B
-------------------------------------------------------------------------------
Total Tensors: 17990588 	Used Memory: 68.64M
The allocated memory on cuda:0: 68.69M
Memory differs due to the matrix alignment or invisible gradient buffer tensors
-------------------------------------------------------------------------------
Parameters: 11689512
