----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
     BatchNorm2d-182         [-1, 256, 64, 128]             512
          Conv2d-183         [-1, 256, 64, 128]         589,824
            ReLU-184         [-1, 256, 64, 128]               0
          Conv2d-185         [-1, 256, 64, 128]         589,824
     BatchNorm2d-186         [-1, 256, 64, 128]             512
     BatchNorm2d-187         [-1, 256, 64, 128]             512
            ReLU-188         [-1, 256, 64, 128]               0
      BasicBlock-189         [-1, 256, 64, 128]               0
          Conv2d-190          [-1, 512, 32, 64]       1,179,648
            ReLU-191         [-1, 256, 64, 128]               0
      BasicBlock-192         [-1, 256, 64, 128]               0
          Conv2d-193         [-1, 256, 64, 128]         589,824
     BatchNorm2d-194          [-1, 512, 32, 64]           1,024
     BatchNorm2d-195         [-1, 256, 64, 128]             512
            ReLU-196          [-1, 512, 32, 64]               0
            ReLU-197         [-1, 256, 64, 128]               0
          Conv2d-198          [-1, 512, 32, 64]       2,359,296
          Conv2d-199         [-1, 256, 64, 128]         589,824
     BatchNorm2d-200          [-1, 512, 32, 64]           1,024
     BatchNorm2d-201         [-1, 256, 64, 128]             512
            ReLU-202         [-1, 256, 64, 128]               0
      BasicBlock-203         [-1, 256, 64, 128]               0
          Conv2d-204          [-1, 512, 32, 64]         131,072
          Conv2d-205          [-1, 512, 32, 64]       1,179,648
     BatchNorm2d-206          [-1, 512, 32, 64]           1,024
     BatchNorm2d-207          [-1, 512, 32, 64]           1,024
            ReLU-208          [-1, 512, 32, 64]               0
            ReLU-209          [-1, 512, 32, 64]               0
      BasicBlock-210          [-1, 512, 32, 64]               0
          Conv2d-211          [-1, 512, 32, 64]       2,359,296
          Conv2d-212          [-1, 512, 32, 64]       2,359,296
     BatchNorm2d-213          [-1, 512, 32, 64]           1,024
     BatchNorm2d-214          [-1, 512, 32, 64]           1,024
          Conv2d-215          [-1, 512, 32, 64]         131,072
            ReLU-216          [-1, 512, 32, 64]               0
          Conv2d-217          [-1, 512, 32, 64]       2,359,296
     BatchNorm2d-218          [-1, 512, 32, 64]           1,024
     BatchNorm2d-219          [-1, 512, 32, 64]           1,024
            ReLU-220          [-1, 512, 32, 64]               0
      BasicBlock-221          [-1, 512, 32, 64]               0
          Conv2d-222          [-1, 512, 32, 64]       2,359,296
            ReLU-223          [-1, 512, 32, 64]               0
      BasicBlock-224          [-1, 512, 32, 64]               0
          Conv2d-225          [-1, 512, 32, 64]       2,359,296
     BatchNorm2d-226          [-1, 512, 32, 64]           1,024
            ReLU-227          [-1, 512, 32, 64]               0
     BatchNorm2d-228          [-1, 512, 32, 64]           1,024
          Conv2d-229          [-1, 512, 32, 64]       2,359,296
            ReLU-230          [-1, 512, 32, 64]               0
     BatchNorm2d-231          [-1, 512, 32, 64]           1,024
          Conv2d-232          [-1, 512, 32, 64]       2,359,296
            ReLU-233          [-1, 512, 32, 64]               0
      BasicBlock-234          [-1, 512, 32, 64]               0
     BatchNorm2d-235          [-1, 512, 32, 64]           1,024
          Conv2d-236          [-1, 512, 32, 64]       2,359,296
            ReLU-237          [-1, 512, 32, 64]               0
      BasicBlock-238          [-1, 512, 32, 64]               0
     BatchNorm2d-239          [-1, 512, 32, 64]           1,024
AdaptiveAvgPool2d-240            [-1, 512, 1, 1]               0
            ReLU-241          [-1, 512, 32, 64]               0
          Conv2d-242          [-1, 512, 32, 64]       2,359,296
     BatchNorm2d-243          [-1, 512, 32, 64]           1,024
            ReLU-244          [-1, 512, 32, 64]               0
      BasicBlock-245          [-1, 512, 32, 64]               0
AdaptiveAvgPool2d-246            [-1, 512, 1, 1]               0
          Linear-247                 [-1, 1000]         513,000
          ResNet-248                 [-1, 1000]               0
          Linear-249                 [-1, 1000]         513,000
          ResNet-250                 [-1, 1000]               0
================================================================
Total params: 43,595,344
Trainable params: 21,797,672
Non-trainable params: 21,797,672
----------------------------------------------------------------
Input size (MB): 24.00
Forward/backward pass size (MB): 8048.04
Params size (MB): 166.30
Estimated Total Size (MB): 8238.34
----------------------------------------------------------------
None
