Element type                                            Size  Used MEM
Tensor65                                                (1,)   512.00B
Tensor66                                              (256,)     1.00K
Tensor67                                              (256,)     1.00K
Tensor68                                                (1,)   512.00B
Tensor69                                              (256,)     1.00K
Tensor70                                              (256,)     1.00K
Tensor71                                                (1,)   512.00B
Tensor72                                              (256,)     1.00K
Tensor73                                              (256,)     1.00K
Tensor74                                                (1,)   512.00B
Tensor75                                              (256,)     1.00K
Tensor76                                              (256,)     1.00K
Tensor77                                                (1,)   512.00B
Tensor78                                              (256,)     1.00K
Tensor79                                              (256,)     1.00K
Tensor80                                                (1,)   512.00B
Tensor81                                              (256,)     1.00K
Tensor82                                              (256,)     1.00K
Tensor83                                                (1,)   512.00B
Tensor84                                              (256,)     1.00K
Tensor85                                              (256,)     1.00K
Tensor86                                                (1,)   512.00B
Tensor87                                              (512,)     2.00K
Tensor88                                              (512,)     2.00K
Tensor89                                                (1,)   512.00B
Tensor90                                              (512,)     2.00K
Tensor91                                              (512,)     2.00K
Tensor92                                                (1,)   512.00B
Tensor93                                              (512,)     2.00K
Tensor94                                              (512,)     2.00K
Tensor95                                                (1,)   512.00B
Tensor96                                              (512,)     2.00K
Tensor97                                              (512,)     2.00K
Tensor98                                                (1,)   512.00B
Tensor99                                              (512,)     2.00K
Tensor100                                             (512,)     2.00K
Tensor101                                               (1,)   512.00B
Tensor102                                             (512,)     2.00K
Tensor103                                             (512,)     2.00K
Tensor104                                               (1,)   512.00B
Tensor105                                             (512,)     2.00K
Tensor106                                             (512,)     2.00K
Tensor107                                               (1,)   512.00B
module.fc.bias                                       (1000,)     4.00K
module.fc.weight                                 (1000, 512)     1.95M
module.layer4.2.bn2.bias                              (512,)     2.00K
module.layer4.2.bn2.weight                            (512,)     2.00K
module.layer4.2.conv2.weight                (512, 512, 3, 3)     9.00M
module.layer4.2.bn1.bias                              (512,)     2.00K
module.layer4.2.bn1.weight                            (512,)     2.00K
Tensor108                                 (1, 3, 1024, 2048)    24.00M
module.conv1.weight                            (64, 3, 7, 7)    37.00K
module.bn1.weight                                      (64,)   512.00B
module.bn1.bias                                        (64,)   512.00B
module.layer1.2.conv1.weight                  (64, 64, 3, 3)   144.00K
module.layer1.2.bn1.weight                             (64,)   512.00B
module.layer1.2.bn1.bias                               (64,)   512.00B
module.layer1.2.conv2.weight                  (64, 64, 3, 3)   144.00K
module.layer1.2.bn2.weight                             (64,)   512.00B
module.layer1.2.bn2.bias                               (64,)   512.00B
module.layer2.0.conv1.weight                 (128, 64, 3, 3)   288.00K
module.layer2.0.bn1.weight                            (128,)   512.00B
module.layer2.0.bn1.bias                              (128,)   512.00B
module.layer2.0.conv2.weight                (128, 128, 3, 3)   576.00K
module.layer2.0.bn2.weight                            (128,)   512.00B
module.layer2.0.bn2.bias                              (128,)   512.00B
module.layer2.1.conv1.weight                (128, 128, 3, 3)   576.00K
module.layer2.1.bn1.weight                            (128,)   512.00B
module.layer2.1.bn1.bias                              (128,)   512.00B
module.layer2.1.conv2.weight                (128, 128, 3, 3)   576.00K
module.layer2.1.bn2.weight                            (128,)   512.00B
module.layer2.1.bn2.bias                              (128,)   512.00B
module.layer2.2.conv1.weight                (128, 128, 3, 3)   576.00K
module.layer2.2.bn1.weight                            (128,)   512.00B
module.layer2.2.bn1.bias                              (128,)   512.00B
module.layer2.2.conv2.weight                (128, 128, 3, 3)   576.00K
module.layer2.2.bn2.weight                            (128,)   512.00B
module.layer2.2.bn2.bias                              (128,)   512.00B
module.layer2.3.conv1.weight                (128, 128, 3, 3)   576.00K
module.layer2.3.bn1.weight                            (128,)   512.00B
module.layer2.3.bn1.bias                              (128,)   512.00B
module.layer2.3.conv2.weight                (128, 128, 3, 3)   576.00K
module.layer2.3.bn2.weight                            (128,)   512.00B
module.layer2.3.bn2.bias                              (128,)   512.00B
module.layer2.0.downsample.0.weight          (128, 64, 1, 1)    32.00K
module.layer2.0.downsample.1.weight                   (128,)   512.00B
module.layer2.0.downsample.1.bias                     (128,)   512.00B
module.layer4.0.conv1.weight                (512, 256, 3, 3)     4.50M
module.layer4.0.bn1.weight                            (512,)     2.00K
module.layer4.0.bn1.bias                              (512,)     2.00K
module.layer4.0.conv2.weight                (512, 512, 3, 3)     9.00M
module.layer4.0.bn2.weight                            (512,)     2.00K
module.layer4.0.bn2.bias                              (512,)     2.00K
module.layer4.1.conv1.weight                (512, 512, 3, 3)     9.00M
module.layer4.1.bn1.weight                            (512,)     2.00K
module.layer4.1.bn1.bias                              (512,)     2.00K
module.layer4.1.conv2.weight                (512, 512, 3, 3)     9.00M
module.layer4.1.bn2.weight                            (512,)     2.00K
module.layer4.1.bn2.bias                              (512,)     2.00K
module.layer4.0.downsample.0.weight         (512, 256, 1, 1)   512.00K
module.layer4.0.downsample.1.weight                   (512,)     2.00K
module.layer4.0.downsample.1.bias                     (512,)     2.00K
module.layer1.0.conv1.weight                  (64, 64, 3, 3)   144.00K
module.layer1.0.bn1.weight                             (64,)   512.00B
module.layer1.0.bn1.bias                               (64,)   512.00B
module.layer1.0.conv2.weight                  (64, 64, 3, 3)   144.00K
module.layer1.0.bn2.weight                             (64,)   512.00B
module.layer1.0.bn2.bias                               (64,)   512.00B
module.layer1.1.conv1.weight                  (64, 64, 3, 3)   144.00K
module.layer1.1.bn1.weight                             (64,)   512.00B
module.layer1.1.bn1.bias                               (64,)   512.00B
module.layer1.1.conv2.weight                  (64, 64, 3, 3)   144.00K
module.layer1.1.bn2.weight                             (64,)   512.00B
module.layer1.1.bn2.bias                               (64,)   512.00B
module.layer3.0.conv1.weight                (256, 128, 3, 3)     1.12M
module.layer3.0.bn1.weight                            (256,)     1.00K
module.layer3.0.bn1.bias                              (256,)     1.00K
module.layer3.0.conv2.weight                (256, 256, 3, 3)     2.25M
module.layer3.0.bn2.weight                            (256,)     1.00K
module.layer3.0.bn2.bias                              (256,)     1.00K
module.layer3.1.conv1.weight                (256, 256, 3, 3)     2.25M
module.layer3.1.bn1.weight                            (256,)     1.00K
module.layer3.1.bn1.bias                              (256,)     1.00K
module.layer3.1.conv2.weight                (256, 256, 3, 3)     2.25M
module.layer3.1.bn2.weight                            (256,)     1.00K
module.layer3.1.bn2.bias                              (256,)     1.00K
module.layer3.2.conv1.weight                (256, 256, 3, 3)     2.25M
module.layer3.2.bn1.weight                            (256,)     1.00K
module.layer3.2.bn1.bias                              (256,)     1.00K
module.layer3.2.conv2.weight                (256, 256, 3, 3)     2.25M
module.layer3.2.bn2.weight                            (256,)     1.00K
module.layer3.2.bn2.bias                              (256,)     1.00K
module.layer3.3.conv1.weight                (256, 256, 3, 3)     2.25M
module.layer3.3.bn1.weight                            (256,)     1.00K
module.layer3.3.bn1.bias                              (256,)     1.00K
module.layer3.3.conv2.weight                (256, 256, 3, 3)     2.25M
module.layer3.3.bn2.weight                            (256,)     1.00K
module.layer3.3.bn2.bias                              (256,)     1.00K
module.layer3.4.conv1.weight                (256, 256, 3, 3)     2.25M
module.layer3.4.bn1.weight                            (256,)     1.00K
module.layer3.4.bn1.bias                              (256,)     1.00K
module.layer3.4.conv2.weight                (256, 256, 3, 3)     2.25M
module.layer3.4.bn2.weight                            (256,)     1.00K
module.layer3.4.bn2.bias                              (256,)     1.00K
module.layer3.5.conv1.weight                (256, 256, 3, 3)     2.25M
module.layer3.5.bn1.weight                            (256,)     1.00K
module.layer3.5.bn1.bias                              (256,)     1.00K
module.layer3.5.conv2.weight                (256, 256, 3, 3)     2.25M
module.layer3.5.bn2.weight                            (256,)     1.00K
module.layer3.5.bn2.bias                              (256,)     1.00K
module.layer3.0.downsample.0.weight         (256, 128, 1, 1)   128.00K
module.layer3.0.downsample.1.weight                   (256,)     1.00K
module.layer3.0.downsample.1.bias                     (256,)     1.00K
-------------------------------------------------------------------------------
Total Tensors: 28106188 	Used Memory: 107.24M
The allocated memory on cuda:0: 108.16M
Memory differs due to the matrix alignment or invisible gradient buffer tensors
-------------------------------------------------------------------------------
Parameters: 21797672
